"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"10/28/2012","Cole Hardware","COLE HARDWARE 0019  SAN FRANCIS602308      415-777-4400 320123020480185994","14.18","debit","Home Supplies","Blue Cash","",""
"10/28/2012","H&M","H & M #80 80        SAN FRANCIS19062795    201-246-4418 320123020480185996","10.80","debit","Clothing","Blue Cash","",""
"10/28/2012","Walgreens","WALGREENS #3185 0000SAN FRANCIS99999992302 8002892273 320123020480185995","7.51","debit","Home Supplies","Blue Cash","",""
"10/28/2012","Play Ground","PLAYGROUND RESTAURANT","59.75","debit","Restaurants","Chase Sapphire Preferred","",""
"10/27/2012","Whole Foods","WHOLEFDS SOM 10151 0SAN FRANCIS04260449012 4156180066 320123010468170037","32.90","debit","Groceries","Blue Cash","",""
"10/26/2012","Gilt Groupe","GILT GROUPE         877-280-05449796575    877-280-0545 320123000454157743","105.95","debit","Clothing","Blue Cash","",""
"10/25/2012","Comcast","COMCAST CALIFORNIA  800-COMCAST81552000160 CABLE SVCS 320122990441003897","87.20","debit","Internet","Blue Cash","",""
"10/25/2012","H&M","H & M #80 80        SAN FRANCIS18830780    201-246-4418 320122990441003898","27.17","debit","Clothing","Blue Cash","",""
"10/25/2012","United Airlines","UNITED AIR  0162344282022","365.60","debit","Air Travel","Chase Sapphire Preferred","",""
"10/25/2012","Chipotle","CHIPOTLE 1702","7.11","debit","Lunch Out at Work","Chase Sapphire Preferred","",""
"10/25/2012","Check 7004","SH DRAFT 7004","2400.00","debit","Mortgage & Rent","Free Checking","",""
"10/25/2012","Progressive","WITHDRAW PROG DIRECT INS INS PREM 121025","28.92","debit","Auto Insurance","Free Checking","",""
"10/23/2012","Clipper","CLIPPER SERVICE 877-878-8883 CA C_OTHERTRAVEL","50.00","debit","Public Transportation","Platinum MasterCard","",""
"10/23/2012","Seamless","SEAMLESS","23.57","debit","Restaurants","Chase Sapphire Preferred","",""
"10/22/2012","Uniqlo Powell St","UNIQLO POWELL ST US0SAN FRANCIS80600007    877-486-4756 320122960402598679","97.42","debit","Clothing","Blue Cash","",""
"10/22/2012","Jangsu Jang","JANGSU JANG","30.00","debit","Restaurants","Chase Sapphire Preferred","",""
"10/22/2012","Transfer to Amazon.com Rewards Card","WITHDRAW CHASE AUTOPAY 121021","476.72","debit","Credit Card Payment","Free Checking","",""
"10/21/2012","Transfer from Free Checking","AUTOMATIC PAYMENT - THANK","476.72","credit","Credit Card Payment","Amazon.com Rewards Card","",""
"10/21/2012","Groupon","GROUPON INC","25.00","debit","Restaurants","Chase Sapphire Preferred","",""
"10/21/2012","Paris Baguette","PARIS BAGUETTE # 7 QPS","11.00","debit","Restaurants","Chase Sapphire Preferred","",""
"10/20/2012","Century Theaters","CENTURY THEATRES 467SAN FRANCIS04670175723 800-246-3627 320122940379150553","22.50","debit","Movies & DVDs","Blue Cash","",""
"10/19/2012","PayPal","WITHDRAW PAYPAL INST XFER 121018","43.73","debit","Electronics & Software","Free Checking","","Apple stuff through Tran"
"10/18/2012","Livingsocial Www Ls","LIVINGSOCIAL        WWW.LS-HELP6Z45F8      FOODDELIVERY 320122920352478193","88.80","debit","Restaurants","Blue Cash","",""
"10/18/2012","Levelup","LEVELUP             855538354207699544    855-538-3542 320122920355562893","10.50","debit","Lunch Out at Work","Blue Cash","",""
"10/18/2012","Transfer Mbr Acct","TRANSFER TO MBR 400048727 ACCT 10/18/2012 14:00 #544056. iPhone 5","346.80","debit","Electronics & Software","Free Checking","","iPhone 5"
"10/18/2012","Spice Kit","SPICE KIT","8.63","debit","Lunch Out at Work","Chase Sapphire Preferred","",""
"10/17/2012","Sushirrito","SUSHIRRITO","9.22","debit","Lunch Out at Work","Chase Sapphire Preferred","",""
"10/16/2012","Decalgirl Direct Mktg","DECALGIRL           302360807236115879    DIRECT MKTG MISC 320122900329378811","16.99","debit","Electronics & Software","Blue Cash","",""
"10/16/2012","REI","REI.COM 800-4264840 SUMNER00000006588 8004264840 320122900326043445","58.27","debit","Sporting Goods","Blue Cash","",""
"10/16/2012","Amazon","AMAZON MKTPLACE PMTS","19.51","debit","Electronics & Software","Amazon.com Rewards Card","",""
"10/16/2012","Kukje Super Market","KUKJE SUPER MARKET","99.42","debit","Groceries","Chase Sapphire Preferred","",""
"10/15/2012","Netflix","NETFLIX NONE        LOS GATOS2554779274  NONE 320122890312724497","5.41","debit","Movies & DVDs","Blue Cash","",""
"10/15/2012","Oakhill Market","OAKHILL MARKET","16.26","debit","Groceries","Chase Sapphire Preferred","",""
"10/15/2012","Wells Fargo","WITHDRAW WELLS FARGO DLR DRAFT 121014","357.60","debit","Auto Payment","Free Checking","",""
"10/14/2012","Apple","APPLE STORE 75      SAN FRANCISR0754660324 COMPUTER STORE 320122880300406976","20.62","debit","Electronics & Software","Blue Cash","",""
"10/14/2012","McDonald's","MCDONALD'S F17079","7.80","debit","Lunch Out at Work","Chase Sapphire Preferred","",""
"10/13/2012","Chevron","CHEVRON CSI-090087/1SAN FRANCIS8707709     4158633001 320122870288873115","47.53","debit","Gas & Fuel","Blue Cash","",""
"10/13/2012","Nyciticom","PAYPAL *NYCITICOM   402935773317963994    402-935-7733 320122870288873117","6.49","debit","Electronics & Software","Blue Cash","",""
"10/13/2012","Sierraenter","PAYPAL *SIERRAENTER 402935773318385055    402-935-7733 320122870288873114","10.85","credit","Electronics & Software","Blue Cash","",""
"10/13/2012","Target","TARGET T320 0320    COLMA00779675    DISCOUNT STORE 320122870288873116","35.99","debit","Home Supplies","Blue Cash","",""
"10/12/2012","Levi's","LEVI'S 00071        KING OF PRU00229714446 CUSTOMERSERVICE@LEVIS 320122860274898626","52.41","debit","Clothing","Blue Cash","",""
"10/12/2012","Deposit Trinet Payroll","DEPOSIT TRINET PAYROLL 121015","2464.66","credit","Paycheck","Free Checking","",""
"10/11/2012","24 Hour Fitness","24 HOUR FITNESS     SAN FRANCISPS000000059 HEALTH & BEAUTY SPA 320122850261995252","188.97","debit","Gym","Blue Cash","",""
"10/11/2012","Whole Foods","WHOLEFDS SOM 10151 0SAN FRANCIS04200449005 4156180066 320122850261995250","25.62","debit","Groceries","Blue Cash","",""
"10/11/2012","AT&T Wireless","ATTM*609797604   NWSALPHARETTA17518690    800-331-0500 320122850261995251","67.60","debit","Mobile Phone","Blue Cash","",""
"10/11/2012","Richmond New May Wah","RICHMOND NEW MAY WAHSAN FRANCIS000025290   4153799088 320122850261995253","28.15","debit","Groceries","Blue Cash","",""
"10/11/2012","Withdraw Chase Autopay","WITHDRAW CHASE AUTOPAY 121010","2050.76","debit","Credit Card Payment","Free Checking","",""
"10/11/2012","Amazon","Amazon.com","64.62","debit","Shopping","Amazon.com Rewards Card","",""
"10/10/2012","Amica","AMICA INSURANCE APP 800-242-6420499202     INSURANCE 320122840248920992","151.86","debit","Auto Insurance","Blue Cash","",""
"10/10/2012","Amazon","Amazon.com","1.55","debit","Shopping","Amazon.com Rewards Card","",""
"10/10/2012","Transfer from Free Checking","AUTOMATIC PAYMENT - THANK","2050.76","credit","Credit Card Payment","Chase Sapphire Preferred","",""
"10/10/2012","Pacific Gas & Electric","WITHDRAW PACIFIC GAS/ELECONLINE PMT121010","37.63","debit","Utilities","Free Checking","",""
"10/09/2012","Wayfarer","WAYFARE TAVERN","72.00","debit","Restaurants","Chase Sapphire Preferred","",""
"10/07/2012","Roys","ROYS   2501","19.88","debit","Restaurants","Chase Sapphire Preferred","",""
"10/07/2012","Spice Kit","SPICE KIT","4.29","debit","Lunch Out at Work","Chase Sapphire Preferred","",""
"10/04/2012","Levelup","LEVELUP             855538354207103280    855-538-3542 320122780175194515","5.94","debit","Lunch Out at Work","Blue Cash","",""
"10/04/2012","Groupon","GROUPON INC","219.00","debit","Hotel","Chase Sapphire Preferred","",""
"10/04/2012","Muraccis Japanese Restaur","MURACCIS JAPANESE RESTAUR","9.49","debit","Lunch Out at Work","Chase Sapphire Preferred","",""
"10/03/2012","Walgreens","WALGREENS #4275 0000SAN FRANCIS99999992277 8002892273 320122770159001788","5.96","debit","Home Supplies","Blue Cash","",""
"10/03/2012","Locali Mediterranean","LOCALI MEDITERRANEAN","8.90","debit","Lunch Out at Work","Chase Sapphire Preferred","",""
"10/02/2012","Gokart Racer","GOKART RACER        650-692-722384238492276650-692-7223 320122760148642001","75.00","debit","Amusement","Blue Cash","",""
"10/02/2012","Jennifer Choe","SH DRAFT 7003","172.15","debit","Hotel","Free Checking","",""
"10/02/2012","Andalu","ANDALU","38.75","debit","Restaurants","Chase Sapphire Preferred","",""
"10/01/2012","Popeye's","POPEYE'S # 4006","12.78","debit","Restaurants","Chase Sapphire Preferred","",""
"10/01/2012","Transfer to Blue Cash","WITHDRAW AMEX EPayment ACH PMT 120928","637.80","debit","Credit Card Payment","Free Checking","",""
"9/30/2012","Kiehl's","KIEHL'S-WESTFIELD SFSAN FRANCIS539141      COSMETIC STORE 320122740117690114","39.06","debit","Personal Care","Blue Cash","",""
"9/30/2012","Cole Hardware","COLE HARDWARE 0019  SAN FRANCIS585531      415-777-4400 320122740117690113","18.40","debit","Home Improvement","Blue Cash","",""
"9/30/2012","Embarcadero Center","EMBARCADERO CENTER","4.50","debit","Movies & DVDs","Chase Sapphire Preferred","",""
"9/30/2012","Embarcadero Center","EMBARCADERO CENTER","21.00","debit","Movies & DVDs","Chase Sapphire Preferred","",""
"9/30/2012","Dividend","DIVIDEND","0.02","credit","Dividend & Cap Gains","Savings Account","",""
"9/30/2012","Dividend","DIVIDEND","6.52","credit","Dividend & Cap Gains","Money Market","",""
"9/30/2012","Dividend","DIVIDEND","0.40","credit","Dividend & Cap Gains","7M Regular Certificate","",""
"9/29/2012","Your Cash Reward","YOUR CASH REWARD/REFUND IS 320122730106889208","200.00","credit","Furnishings","Blue Cash","",""
"9/28/2012","Whole Foods","WHOLEFDS SOM 10151 04156180066042704490104156180066 320122720093103630","64.54","debit","Groceries","Blue Cash","",""
"9/28/2012","Transfer from Free Checking","AUTOPAY PAYMENT - THANK YOU 320122720096442497","637.80","credit","Credit Card Payment","Blue Cash","",""
"9/28/2012","Deposit Trinet Payroll","DEPOSIT TRINET PAYROLL 120930","2434.01","credit","Paycheck","Free Checking","",""
"9/27/2012","Sq Portico","SQ *PORTICO","8.52","debit","Lunch Out at Work","Chase Sapphire Preferred","",""
"9/27/2012","Keatley Car Care","KEATLEY CAR CARE LLC","35.00","debit","Service & Parts","Chase Sapphire Preferred","",""
"9/27/2012","Wal-Mart","WALMART.COM 8009666546","40.95","debit","Furnishings","Chase Sapphire Preferred","",""
"9/26/2012","Serpentine","SERPENTINE","61.81","debit","Restaurants","Chase Sapphire Preferred","",""
"9/25/2012","Comcast","COMCAST CALIFORNIA  800-COMCAST81552000160 CABLE SVCS 320122690054407866","87.21","debit","Internet","Blue Cash","",""
"9/25/2012","Sierraenter","PAYPAL *SIERRAENTER 402935773319364705    402-935-7733 320122690057617627","10.85","debit","Electronics & Software","Blue Cash","",""
"9/25/2012","Williams-Sonoma","WILLIAMS-SONOMA E-COHOME FURNISH294723870002947238700000000094105 320122690054407865","221.30","debit","Furnishings","Blue Cash","",""
"9/25/2012","Dividend Certificate Renewed","DIVIDEND CERTIFICATE RENEWED AT 00.250 MATURING ON 04/26/2013","2.02","credit","Dividend & Cap Gains","7M Regular Certificate","",""
"9/25/2012","Baskin Q","BASKIN #360108     Q35","7.89","debit","Fast Food","Chase Sapphire Preferred","",""
"9/25/2012","Corning Revere","CORNING REVERE #46","23.60","debit","Furnishings","Chase Sapphire Preferred","",""
"9/25/2012","Progressive","WITHDRAW PROG DIRECT INS INS PREM 120925","28.92","debit","Motorcycle","Free Checking","",""
"9/24/2012","Valero","VALERO 3809 00000000VALLEJO000155196   7075526029 320122680041152709","30.06","debit","Gas & Fuel","Blue Cash","",""
"9/24/2012","Check 7002","SH DRAFT 7002","2400.00","debit","Mortgage & Rent","Free Checking","",""
"9/24/2012","Transfer to Amazon.com Rewards Card","WITHDRAW CHASE AUTOPAY 120921","57.90","debit","Credit Card Payment","Free Checking","",""
"9/22/2012","Chevron","CHEVRON CSI-097947/1CAMERON PAR4764991     5306777345 320122660018290511","25.60","debit","Gas & Fuel","Blue Cash","",""
"9/21/2012","Amazon","Amazon.com","23.15","debit","Furnishings","Amazon.com Rewards Card","",""
"9/21/2012","Amazon","AMAZON MKTPLACE PMTS","47.54","debit","Electronics & Software","Amazon.com Rewards Card","",""
"9/21/2012","Transfer from Free Checking","AUTOMATIC PAYMENT - THANK","57.90","credit","Credit Card Payment","Amazon.com Rewards Card","",""
"9/21/2012","Auto Service","123 AUTO SERVICE","85.84","debit","Service & Parts","Chase Sapphire Preferred","",""
"9/20/2012","Charge Adjustment","CHARGE ADJUSTMENT","0.41","credit","Credit Card Payment","Platinum MasterCard","",""
"9/20/2012","Safeway","SAFEWAY STORE  2606 SAN FRANCISGROCERY STORE 320122640491522775","123.14","debit","Reimbursed Expense","Blue Cash","",""
"9/20/2012","Amazon","Amazon.com","21.07","debit","Shopping","Amazon.com Rewards Card","",""
"9/20/2012","REI","REI 83 SAN FRANCISCO","34.62","debit","Sporting Goods","Chase Sapphire Preferred","",""
"9/20/2012","Alg Trip Charges","ALG*TRIP CHARGES","142.95","debit","Air Travel","Chase Sapphire Preferred","",""
"9/19/2012","Amazon","AMAZON MKTPLACE PMTS","62.88","debit","Furnishings","Amazon.com Rewards Card","",""
"9/19/2012","McDonald's","MCDONALD'S F17079","3.46","debit","Lunch Out at Work","Chase Sapphire Preferred","",""
"9/18/2012","Amazon","AMAZON MKTPLACE PMTS","26.14","debit","Electronics & Software","Amazon.com Rewards Card","","replacement fan for macbook"
"9/18/2012","Bloomspot","BLOOMSPOT","65.00","debit","Service & Parts","Chase Sapphire Preferred","","Keatley Detailing"
"9/18/2012","Home Depot","THE HOME DEPOT 627","3.78","debit","Home Improvement","Chase Sapphire Preferred","",""
"9/17/2012","Lovejoy's Tea Room","LOVEJOY'S TEA ROOM","33.50","debit","Restaurants","Chase Sapphire Preferred","",""
"9/16/2012","Netflix","NETFLIX NONE        LOS GATOS2506787718  NONE 320122600440864537","5.41","debit","Movies & DVDs","Blue Cash","",""
"9/15/2012","Whole Foods","WHOLEFDS SOM 10151 0SAN FRANCIS04240449002 4156180066 320122590429295860","35.99","debit","Groceries","Blue Cash","",""
"9/14/2012","Whole Foods","WHOLEFDS SOM 10151 0SAN FRANCIS04230449008 4156180066 320122580416540519","49.69","debit","Groceries","Blue Cash","",""
"9/14/2012","Chevron","CHEVRON CSI-090087/1SAN FRANCIS8779077     4158633001 320122580416540520","42.81","debit","Gas & Fuel","Blue Cash","",""
"9/14/2012","Wells Fargo","WITHDRAW WELLS FARGO DLR DRAFT 120914","357.60","debit","Auto Payment","Free Checking","",""
"9/13/2012","Deposit Trinet Payroll","DEPOSIT TRINET PAYROLL 120907","2445.65","credit","Paycheck","Free Checking","",""
"9/13/2012","Crate Barrel","CRATE & BARREL #914","8.69","credit","Credit Card Payment","Chase Sapphire Preferred","",""
"9/13/2012","US Airways","USAIRWAYS   0372484969791","586.50","debit","Air Travel","Chase Sapphire Preferred","",""
"9/12/2012","AT&T Wireless","ATTM*609797604   NWSALPHARETTA10665156    800-331-0500 320122560389216952","68.61","debit","Mobile Phone","Blue Cash","",""
"9/11/2012","Theclymb Com","THECLYMB.COM 0325   PORTLAND88200435    877-464-6936 320122550376647734","32.96","debit","Clothing","Blue Cash","",""
"9/11/2012","Pacific Gas & Electric","WITHDRAW PACIFIC GAS/ELECONLINE PMT120911","38.88","debit","Utilities","Free Checking","",""
"9/11/2012","Transfer to Chase Sapphire Preferred","WITHDRAW CHASE AUTOPAY 120910","1099.52","debit","Credit Card Payment","Free Checking","",""
"9/11/2012","Amazon","Amazon.com","55.01","debit","Reimbursed Expense","Amazon.com Rewards Card","",""
"9/11/2012","Elevation","ELEVATION 66 BREWING C","62.00","debit","Restaurants","Chase Sapphire Preferred","",""
"9/11/2012","Crate & Barrel","CRATE & BARREL #914","92.50","debit","Furnishings","Chase Sapphire Preferred","",""
"9/10/2012","Transfer from Free Checking","AUTOMATIC PAYMENT - THANK","1099.52","credit","Credit Card Payment","Chase Sapphire Preferred","",""
"9/09/2012","Walgreens","WALGREENS #1297 0000SAN FRANCIS99999992253 8002892273 320122530352893834","33.02","debit","Home Supplies","Blue Cash","",""
"9/09/2012","Whole Foods","WHOLEFDS SOM 10151 0SAN FRANCIS04280449011 4156180066 320122530352893835","39.60","debit","Groceries","Blue Cash","",""
"9/08/2012","Amica","AMICA INSURANCE APP 800-242-6420461879     INSURANCE 320122520341054217","151.86","debit","Auto Insurance","Blue Cash","",""
"9/07/2012","Focaccia","FOCACCIA MARKET BAKERY","8.45","debit","Lunch Out at Work","Chase Sapphire Preferred","",""
"9/06/2012","Livingsocial Www Ls","LIVINGSOCIAL        WWW.LS-HELP97G2TD      DAILYDEAL 320122500314251621","5.00","debit","Coffee Shops","Blue Cash","",""
"9/06/2012","REI","REI COM","150.74","debit","Sporting Goods","Chase Sapphire Preferred","",""
"9/05/2012","Amazon","AMAZON MKTPLACE PMTS","146.27","debit","Sporting Goods","Amazon.com Rewards Card","","sleeping pad"
"9/05/2012","Hudson News","HUDSON NEWS","9.09","debit","Newspapers & Magazines","Chase Sapphire Preferred","",""
"9/05/2012","Mexx Robson","MEXX ROBSON #95","79.68","debit","Clothing","Chase Sapphire Preferred","",""
"9/05/2012","Vancouver Art Gallery","VANCOUVER ART GALLERY","45.53","debit","Arts","Chase Sapphire Preferred","",""
"9/05/2012","Shuraku Restaurant","SHURAKU RESTAURANT","115.64","debit","Restaurants","Chase Sapphire Preferred","",""
"9/05/2012","Translink","TRANSLINK","3.81","debit","Public Transportation","Chase Sapphire Preferred","",""
"9/05/2012","Local","LOCAL KITCHEN & WINE MER","52.45","debit","Restaurants","Chase Sapphire Preferred","",""
"9/04/2012","Sura","SURA","100.98","debit","Restaurants","Chase Sapphire Preferred","",""
"9/04/2012","Chambar Restaurant","CHAMBAR RESTAURANT","171.18","debit","Restaurants","Chase Sapphire Preferred","",""
"9/02/2012","Go Fish","GO FISH","41.12","debit","Restaurants","Chase Sapphire Preferred","",""
"9/02/2012","Temp News","TEMP NEWS     30096655","31.11","debit","Fast Food","Chase Sapphire Preferred","",""
"9/02/2012","Focaccia Market Y","FOCACCIA MARKET BAKERY","7.95","debit","Lunch Out at Work","Chase Sapphire Preferred","",""
"9/02/2012","French Baguette","FRENCH BAGUETTE","9.49","debit","Lunch Out at Work","Chase Sapphire Preferred","",""
